County,Precinct,Office,District,Party,Candidate,Votes
Bergen,Fairview 6 - Election Day,President,,,Registration,176
Bergen,Fairview Mail-In Ballot - Mail-In Ba,President,,,Registration,0
Bergen,Fairview Provisional - Provisional,President,,,Registration,0
Bergen,Fort Lee 1 - Election Day,President,,,Registration,1180
Bergen,Fort Lee 2 - Election Day,President,,,Registration,809
Bergen,Fort Lee 3 - Election Day,President,,,Registration,1635
Bergen,Fort Lee 4 - Election Day,President,,,Registration,632
Bergen,Fort Lee 5 - Election Day,President,,,Registration,939
Bergen,Fort Lee 6 - Election Day,President,,,Registration,1660
Bergen,Fort Lee 7 - Election Day,President,,,Registration,2257
Bergen,Fort Lee 8 - Election Day,President,,,Registration,671
Bergen,Fort Lee 9 - Election Day,President,,,Registration,725
Bergen,Fort Lee 10 - Election Day,President,,,Registration,2821
Bergen,Fort Lee 11 - Election Day,President,,,Registration,687
Bergen,Fort Lee 12 - Election Day,President,,,Registration,1349
Bergen,Fort Lee 13 - Election Day,President,,,Registration,814
Bergen,Fort Lee 14 - Election Day,President,,,Registration,705
Bergen,Fort Lee 15 - Election Day,President,,,Registration,835
Bergen,Fort Lee 16 - Election Day,President,,,Registration,1088
Bergen,Fort Lee 17 - Election Day,President,,,Registration,538
Bergen,Fort Lee 18 - Election Day,President,,,Registration,474
Bergen,Fort Lee 19 - Election Day,President,,,Registration,1489
Bergen,Fort Lee Mail-In Ballot - Mail-In Ba,President,,,Registration,0
Bergen,Fort Lee Provisional - Provisional,President,,,Registration,0
Bergen,Franklin Lakes 1 - Election Day,President,,,Registration,1091
Bergen,Franklin Lakes 2 - Election Day,President,,,Registration,1111
Bergen,Franklin Lakes 3 - Election Day,President,,,Registration,1110
Bergen,Franklin Lakes 4 - Election Day,President,,,Registration,2123
Bergen,Franklin Lakes 5 - Election Day,President,,,Registration,1563
Bergen,Franklin Lakes 6 - Election Day,President,,,Registration,1369
Bergen,Franklin Lakes Mail-In Ballot - Mai,President,,,Registration,0
Bergen,Franklin Lakes Provisional - Provis,President,,,Registration,0
Bergen,Garfield W1 D1 - Election Day,President,,,Registration,911
Bergen,Garfield W1 D2 - Election Day,President,,,Registration,532
Bergen,Garfield W1 D3 - Election Day,President,,,Registration,1048
Bergen,Garfield W2 D1 - Election Day,President,,,Registration,1110
Bergen,Garfield W2 D2 - Election Day,President,,,Registration,1051
Bergen,Garfield W2 D3 - Election Day,President,,,Registration,774
Bergen,Garfield W3 D1 - Election Day,President,,,Registration,1201
Bergen,Garfield W3 D2 - Election Day,President,,,Registration,1157
Bergen,Garfield W3 D3 - Election Day,President,,,Registration,1010
Bergen,Garfield W4 D1 - Election Day,President,,,Registration,1240
Bergen,Garfield W4 D2 - Election Day,President,,,Registration,901
Bergen,Garfield W4 D3 - Election Day,President,,,Registration,786
Bergen,Garfield W5 D1 - Election Day,President,,,Registration,1572
Bergen,Garfield W5 D2 - Election Day,President,,,Registration,940
Bergen,Garfield W5 D3 - Election Day,President,,,Registration,583
Bergen,Garfield Mail-In Ballot - Mail-In Ba,President,,,Registration,0
Bergen,Garfield Provisional - Provisional,President,,,Registration,0
Bergen,Glen Rock 1 - Election Day,President,,,Registration,1102
Bergen,Glen Rock 2 - Election Day,President,,,Registration,1203
Bergen,Glen Rock 3 - Election Day,President,,,Registration,1243
Bergen,Glen Rock 4 - Election Day,President,,,Registration,1032
Bergen,Glen Rock 5 - Election Day,President,,,Registration,1278
Bergen,Glen Rock 6 - Election Day,President,,,Registration,979
Bergen,Glen Rock 7 - Election Day,President,,,Registration,1157
Bergen,Glen Rock 8 - Election Day,President,,,Registration,861
Bergen,Glen Rock Mail-In Ballot - Mail-In B,President,,,Registration,0
Bergen,Glen Rock Provisional - Provisiona,President,,,Registration,0
Bergen,Hackensack W1 D1 - Election Day,President,,,Registration,827
Bergen,Hackensack W1 D2 - Election Day,President,,,Registration,838
Bergen,Hackensack W1 D3 - Election Day,President,,,Registration,918
Bergen,Hackensack W1 D4 - Election Day,President,,,Registration,739
Bergen,Hackensack W2 D1 - Election Day,President,,,Registration,593
Bergen,Hackensack W2 D2 - Election Day,President,,,Registration,1218
Bergen,Hackensack W2 D3 - Election Day,President,,,Registration,1142
Bergen,Hackensack W2 D4 - Election Day,President,,,Registration,723
Bergen,Hackensack W2 D5 - Election Day,President,,,Registration,732
Bergen,Hackensack W3 D1 - Election Day,President,,,Registration,577
Bergen,Hackensack W3 D2 - Election Day,President,,,Registration,738
Bergen,Hackensack W3 D3 - Election Day,President,,,Registration,661
Bergen,Hackensack W3 D4 - Election Day,President,,,Registration,1074
Bergen,Hackensack W3 D5 - Election Day,President,,,Registration,953
Bergen,Hackensack W4 D1 - Election Day,President,,,Registration,925
Bergen,Hackensack W4 D2 - Election Day,President,,,Registration,1825
Bergen,Hackensack W4 D3 - Election Day,President,,,Registration,1415
Bergen,Hackensack W4 D4 - Election Day,President,,,Registration,1126
Bergen,Hackensack W4 D5 - Election Day,President,,,Registration,692
Bergen,Hackensack W5 D1 - Election Day,President,,,Registration,980
